"set_id";"species";"weight_category";"catches";"latitude";"longitude";"fishing_mode";"activity_date";"vessel";"id_trip";"landingdate";"ocean";"null_set";"year";"timescale";"total_catches";"sp_prop";"x";"y";"zone"
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"BET";"-10kg";0,381069645915694;-7,81681;55,9835;"fob";"2013-04-28";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;13;0,0293130496858226;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"SKJ";NA;7,72546979709356;-7,81681;55,9835;"fob";"2013-04-28";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;13;0,594266907468735;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"YFT";"-10kg";4,89346055699075;-7,81681;55,9835;"fob";"2013-04-28";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;13;0,376420042845442;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"BET";"-10kg";0,532250220979728;-8,35014;57,8501;"fob";"2013-04-26";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;10;0,0532250220979728;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"SKJ";NA;3,7998841273225;-8,35014;57,8501;"fob";"2013-04-26";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;10;0,37998841273225;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"YFT";"-10kg";2,61338057619971;-8,35014;57,8501;"fob";"2013-04-26";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;10;0,261338057619971;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"YFT";"+10kg";3,05448507549806;-8,35014;57,8501;"fob";"2013-04-26";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;10;0,305448507549806;55;-5;"312"
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"BET";"-10kg";0,732826242145565;-6,56681;49,6001;"fob";"2013-05-01";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;25;0,0293130496858226;45;-5;"311"
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"SKJ";NA;14,8566726867184;-6,56681;49,6001;"fob";"2013-05-01";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;25;0,594266907468735;45;-5;"311"
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"YFT";"-10kg";9,41050107113606;-6,56681;49,6001;"fob";"2013-05-01";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;25;0,376420042845442;45;-5;"311"
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"BET";"-10kg";0,266125110489864;-8,38347;61,1001;"fob";"2013-04-23";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;5;0,0532250220979728;65;-5;"313"
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"SKJ";NA;1,89994206366125;-8,38347;61,1001;"fob";"2013-04-23";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;5;0,37998841273225;65;-5;"313"
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"YFT";"-10kg";1,30669028809986;-8,38347;61,1001;"fob";"2013-04-23";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;5;0,261338057619972;65;-5;"313"
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"YFT";"+10kg";1,52724253774903;-8,38347;61,1001;"fob";"2013-04-23";572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";"2013-05-28";2;FALSE;2013;2;5;0,305448507549806;65;-5;"313"
