"","date","frac.french"
"Indien.2010-01-01",2010-01-01,0.224099158852001
"Indien.2010-02-01",2010-02-01,0.196405929943449
"Indien.2010-03-01",2010-03-01,0.182270385633623
"Indien.2010-04-01",2010-04-01,0.210272259016246
"Indien.2010-05-01",2010-05-01,0.257745339749039
"Indien.2010-06-01",2010-06-01,0.231616930391981
"Indien.2010-07-01",2010-07-01,0.205347755631305
"Indien.2010-08-01",2010-08-01,0.204671424662861
"Indien.2010-09-01",2010-09-01,0.205950838270714
"Indien.2010-10-01",2010-10-01,0.242105412685468
"Indien.2010-11-01",2010-11-01,0.277924965899806
"Indien.2010-12-01",2010-12-01,0.306284946267573
"Indien.2011-01-01",2011-01-01,0.28656322309678
"Indien.2011-02-01",2011-02-01,0.267644611356814
"Indien.2011-03-01",2011-03-01,0.298760729058473
"Indien.2011-04-01",2011-04-01,0.317614881066821
"Indien.2011-05-01",2011-05-01,0.29615393681053
"Indien.2011-06-01",2011-06-01,0.339321999582205
"Indien.2011-07-01",2011-07-01,0.328212098884795
"Indien.2011-08-01",2011-08-01,0.330598666416267
"Indien.2011-09-01",2011-09-01,0.348111949814404
"Indien.2011-10-01",2011-10-01,0.34138742064115
"Indien.2011-11-01",2011-11-01,0.342273062197801
"Indien.2011-12-01",2011-12-01,0.350359152639034
"Indien.2012-01-01",2012-01-01,0.351019666894514
"Indien.2012-02-01",2012-02-01,0.334770799727329
"Indien.2012-03-01",2012-03-01,0.386176711997293
"Indien.2012-04-01",2012-04-01,0.352640767288835
"Indien.2012-05-01",2012-05-01,0.325110590810728
"Indien.2012-06-01",2012-06-01,0.274558137737248
"Indien.2012-07-01",2012-07-01,0.2366102838325
"Indien.2012-08-01",2012-08-01,0.209784822633593
"Indien.2012-09-01",2012-09-01,0.206957827964177
"Indien.2012-10-01",2012-10-01,0.202148128307322
"Indien.2012-11-01",2012-11-01,0.208810131429759
"Indien.2012-12-01",2012-12-01,0.157944797427443
"Indien.2013-01-01",2013-01-01,0.139588296780544
"Indien.2013-02-01",2013-02-01,0.141249385431174
"Indien.2013-03-01",2013-03-01,0.233114953774769
"Indien.2013-04-01",2013-04-01,0.228875099618706
"Indien.2013-05-01",2013-05-01,0.229094959745083
"Indien.2013-06-01",2013-06-01,0.198280505779266
"Indien.2013-07-01",2013-07-01,0.176213709397052
"Indien.2013-08-01",2013-08-01,0.152348608266333
"Indien.2013-09-01",2013-09-01,0.14045620698938
"Indien.2013-10-01",2013-10-01,0.137778920719812
"Indien.2013-11-01",2013-11-01,0.147046360221651
"Indien.2013-12-01",2013-12-01,0.150016319836077
"Indien.2014-01-01",2014-01-01,0.152134178558748
"Indien.2014-02-01",2014-02-01,0.163117208651734
"Indien.2014-03-01",2014-03-01,0.196462215586521
"Indien.2014-04-01",2014-04-01,0.17688759696187
"Indien.2014-05-01",2014-05-01,0.183941884026613
"Indien.2014-06-01",2014-06-01,0.157509916554286
"Indien.2014-07-01",2014-07-01,0.138829970499096
"Indien.2014-08-01",2014-08-01,0.182122654614226
"Indien.2014-09-01",2014-09-01,0.202669262636615
"Indien.2014-10-01",2014-10-01,0.218687121750572
"Indien.2014-11-01",2014-11-01,0.215785854530553
"Indien.2014-12-01",2014-12-01,0.189200765977495
"Indien.2015-01-01",2015-01-01,0.111850150535535
"Indien.2015-02-01",2015-02-01,0.123002938188591
"Indien.2015-03-01",2015-03-01,0.143429170940374
"Indien.2015-04-01",2015-04-01,0.152920772314856
"Indien.2015-05-01",2015-05-01,0.145403493945973
"Indien.2015-06-01",2015-06-01,0.149534587070345
"Indien.2015-07-01",2015-07-01,0.152314575280354
"Indien.2015-08-01",2015-08-01,0.160246871426084
"Indien.2015-09-01",2015-09-01,0.181446995919097
"Indien.2015-10-01",2015-10-01,0.186569171184794
"Indien.2015-11-01",2015-11-01,0.197233544464977
"Indien.2015-12-01",2015-12-01,0.207277977379652
"Indien.2016-01-01",2016-01-01,0.179416106013271
"Indien.2016-02-01",2016-02-01,0.197099043562075
"Indien.2016-03-01",2016-03-01,0.208745651731376
"Indien.2016-04-01",2016-04-01,0.223500501756691
"Indien.2016-05-01",2016-05-01,0.223785720162578
"Indien.2016-06-01",2016-06-01,0.205858542032071
"Indien.2016-07-01",2016-07-01,0.196421775740099
"Indien.2016-08-01",2016-08-01,0.200474308251246
"Indien.2016-09-01",2016-09-01,0.208763934451693
"Indien.2016-10-01",2016-10-01,0.213422884786429
"Indien.2016-11-01",2016-11-01,0.235228894746182
"Indien.2016-12-01",2016-12-01,0.246875579549005
"Indien.2017-01-01",2017-01-01,0.263768117649283
"Indien.2017-02-01",2017-02-01,0.267872920135474
"Indien.2017-03-01",2017-03-01,0.292724915342655
"Indien.2017-04-01",2017-04-01,0.324154740215832
"Indien.2017-05-01",2017-05-01,0.291391057031665
"Indien.2017-06-01",2017-06-01,0.283188063030564
"Indien.2017-07-01",2017-07-01,0.291593372161894
"Indien.2017-08-01",2017-08-01,0.29943779554474
"Indien.2017-09-01",2017-09-01,0.311380117979904
"Indien.2017-10-01",2017-10-01,0.347596229872226
"Indien.2017-11-01",2017-11-01,0.348780764791187
"Indien.2017-12-01",2017-12-01,0.328845807323047
